Location ,Longitude,Latitude,Wind Pressure,Wind Speed
1,-82,23.3,NA,30
2,-82.36,23.13,NA,30
3,-82.7,23,NA,30
4,-83.01,22.95,NA,32
5,-83.3,23,NA,35
6,-83.61,23.15,NA,37
7,-83.9,23.4,NA,40
8,-84.12,23.78,NA,42
9,-84.4,24.1,NA,45
10,-84.87,24.15,NA,45
11,-85.4,24.1,NA,45
12,-85.87,24.13,NA,45
13,-86.3,24.2,NA,45
14,-86.69,24.29,NA,42
15,-87,24.4,NA,40
16,-87.19,24.47,NA,40
17,-87.3,24.6,NA,40
18,-87.41,24.85,NA,40
19,-87.5,25.2,NA,40
20,-87.59,25.58,NA,40
21,-87.7,26,NA,40
22,-87.84,26.39,NA,40
23,-88,26.8,NA,40
24,-88.16,27.26,NA,40
25,-88.4,27.7,NA,40
26,-88.78,28.05,NA,40
27,-89.2,28.3,1004,40
28,-89.53,28.47,NA,40
29,-89.8,28.6,NA,40
30,-90.02,28.72,NA,40
31,-90.2,28.9,NA,40
32,-90.3,29.1,NA,40
33,-90.4,29.2,NA,38
34,-90.8,29.4,NA,35
35,-91.08,29.29,NA,35
36,-91.3,29,NA,35
37,-91.49,28.71,NA,37
38,-91.7,28.4,NA,40
39,-91.99,28.1,NA,42
40,-92.3,27.9,NA,45
41,-92.6,27.89,NA,50
42,-92.9,28,NA,55
43,-93.21,28.14,NA,57
44,-93.5,28.3,NA,60
45,-93.73,28.45,NA,62
46,-93.9,28.6,NA,65
47,-94,28.76,NA,67
48,-94.1,28.9,NA,70
49,-94.27,29.01,NA,70
50,-94.5,29.1,984,70
51,-94.82,29.17,NA,70
52,-94.9,29.2,984,70
53,-95,29.3,NA,65
54,-95.23,29.44,NA,57
55,-95.5,29.6,NA,50
56,-95.75,29.79,NA,42
57,-96,30,NA,35
58,-96.25,30.2,NA,32
59,-96.5,30.4,NA,30
60,-96.77,30.6,NA,30
61,-97,30.8,NA,30
62,-97.17,31,NA,27
63,-97.3,31.2,NA,25
64,-97.45,31.4,NA,22
65,-97.6,31.6,NA,20
66,-97.76,31.8,NA,20
67,-97.9,32,NA,20
68,-98.03,32.18,NA,20
69,-98.1,32.4,NA,20
70,-98.07,32.67,NA,20
71,-98,33,NA,20
72,-97.94,33.36,NA,17
73,-97.9,33.8,NA,15
74,-97.89,34.37,NA,15
75,-97.9,35,NA,15
