Arc Number,From Node,To Node,,,,
1,1,2,,,,
2,2,3,,,,
3,3,4,,,,
4,4,5,,,,
5,1,21,,,,
6,21,26,,,,
7,26,28,,,,
8,28,34,,,,
9,3,14,,,,
10,14,15,,,,
11,15,18,,,,
12,18,22,,,,
13,22,25,,,,
14,25,27,,,,
15,27,30,,,,
16,28,29,,,,
17,29,30,,,,
18,34,35,,,,
19,30,35,,,,
20,35,37,,,,
21,37,39,,,,
22,39,40,,,,
23,39,43,,,,
24,40,41,,,,
25,43,41,,,,
26,41,42,,,,
27,43,44,,,,
28,43,48,,,,
29,44,54,,,,
30,48,53,,,,
31,54,53,,,,
32,54,58,,,,
33,53,57,,,,
34,58,57,,,,
35,58,59,,,,
36,42,46,,,,
37,53,55,,,,
38,46,45,,,,
39,55,51,,,,
40,45,47,,,,
41,47,50,,,,
42,50,49,,,,
43,51,52,,,,
44,5,6,,,,
45,6,7,,,,
46,7,8,,,,
47,8,9,,,,
48,9,10,,,,
49,7,11,,,,
50,11,12,,,,
51,10,11,,,,
52,15,16,,,,
53,16,17,,,,
54,17,19,,,,
55,19,23,,,,
56,18,19,,,,
57,22,23,,,,
58,30,31,,,,
59,37,38,,,,
60,38,45,,,,
61,31,38,,,,
62,12,60,,,,
63,60,13,,,,
64,13,20,,,,
65,20,24,,,,
66,19,13,,,,
67,23,24,,,,
68,24,32,,,,
69,32,33,,,,
70,33,36,,,,
71,36,56,,,,
72,31,33,,,,
