no,lon,lat,role
1,-94.796746,29.3027593,substation
2,-94.7968948,29.3031627,pole
3,-94.7972086,29.3040434,pole
4,-94.7977987,29.3058373,pole
5,-94.7970987,29.3074161,pole
6,-94.7946793,29.3080493,pole
7,-94.7936507,29.3084113,pole
8,-94.7934294,29.3079038,pole
9,-94.7922593,29.3081903,pole
10,-94.7911173,29.3085025,pole
11,-94.7912601,29.3089522,pole
12,-94.7844151,29.3107443,pole
13,-94.783072,29.3067928,pole
14,-94.7961129,29.3043264,pole
15,-94.7947879,29.3046585,pole
16,-94.7913654,29.305559,pole
17,-94.7890855,29.3061601,pole
18,-94.7945076,29.3038176,pole
19,-94.7887892,29.3052912,pole
20,-94.7829319,29.3063858,pole
21,-94.7964469,29.3018774,pole
22,-94.7942099,29.3029358,pole
23,-94.7884847,29.3044252,pole
24,-94.782781,29.3059098,pole
25,-94.794061,29.3025218,pole
26,-94.7961585,29.3010167,pole
27,-94.7937566,29.3016435,pole
28,-94.7953364,29.2986179,pole
29,-94.7942407,29.2989068,pole
30,-94.7929318,29.2992577,pole
31,-94.78951,29.3001413,pole
32,-94.7817068,29.3027943,pole
33,-94.7815177,29.3022306,pole
34,-94.7948778,29.2973326,pole
35,-94.7924785,29.2979454,pole
36,-94.7810631,29.3009068,pole
37,-94.7916001,29.2953151,pole
38,-94.788181,29.2962238,pole
39,-94.7913238,29.2944765,pole
40,-94.7905916,29.2946554,pole
41,-94.7902952,29.2937624,pole
42,-94.7900203,29.2938297,pole
43,-94.7909658,29.2935829,pole
44,-94.7920789,29.2932981,pole
45,-94.7876076,29.2944835,pole
46,-94.7885732,29.2942332,pole
47,-94.7873273,29.293701,pole
48,-94.7905487,29.292291,pole
49,-94.7871289,29.2931829,pole
50,-94.7872482,29.2935303,pole
51,-94.7869834,29.2927443,pole
52,-94.7868218,29.2923056,pole
53,-94.7903991,29.2918396,pole
54,-94.7914539,29.2915501,pole
55,-94.7881226,29.2924495,pole
56,-94.7796589,29.2967759,pole
57,-94.7898138,29.2901184,pole
58,-94.7909121,29.2898272,pole
59,-94.790436,29.2883827,pole
60,-94.7835143,29.3080924,pole
