Node,X,Y,lon,lat,,,
1,0,0,-94.797045,29.3074161,,,
2,0,304.91,-94.7961599,29.3047848,,,
3,0,920.96,-94.7943232,29.2994811,,,
4,0,1641.1,-94.7922036,29.2932741,,,
5,0,1843.2,-94.7916028,29.2915337,,,
6,0,2225.76,-94.7904763,29.2882365,,,
7,470.46,2005.47,-94.7865026,29.2913501,,,
8,470.46,1845.11,-94.7869867,29.2927291,,,
9,470.46,1642.66,-94.7875822,29.2944741,,,
10,470.46,922.54,-94.7896877,29.3006845,,,
11,470.46,304.95,-94.7915035,29.3060081,,,
12,470.46,0,-94.7923994,29.308637,,,
13,1279.77,1627.09,-94.779616,29.296701,,,
14,1279.77,922.81,-94.7816813,29.3027733,,,
15,1279.77,306.59,-94.7835025,29.3080827,,,
16,1279.77,0,-94.7844037,29.3107256,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
